ticket_text,category,urgency,urgency_stated,label_noise
A billing contact on our team cannot see the integrations page at all. Our developer confirmed the same behaviour on Android 15. Happy to provide more detail if useful.,Login/Access,Medium,false,false
"Hello, Please move our billing cycle from monthly to annual on the free plan. It affects one part of our workflow which msans it is more of an irritation than a problem and no particular deadline from our side?!",Billing,Medium,true,false
I can log in on desktop but the mobile app rejects the same credentials.,Login/Access,Critical,false,false
"Hello support, Api latency went from milliseconds to several seconds for the last 48 hours Looking forward to your reply",Technical Issue,Low,false,false
"Hello support, We would adopt this much faster a native mobile app existed. Looking forward to your reply.",Feature Request,Medium,false,false
"hi folks, the onboarding flow takes over 20 minutes to load for everyone on our team. only i have noticed it so far, absolutely no rush on this. cheers.",Technical Issue,Low,true,false
Could the search bar support multi-currency support at some point. Let me know.,Feature Request,Low,false,true
The total on the project timeline shows a different number than the export. We need someone on this immediately. Let me know.,Bug Report,Critical,true,false
"Hi there, We have had to build a manual workaround to cope. I want to cancel the subscription and get a reund of $79. Please advise.",Billing,High,true,false
"Hello support, The tax rate applied to invoice ord-88190 looks wrong for our region. Nobody else has even mentioned it. Let me know if you need screenshots.",Billing,Low,true,false
The account recovery flow keeps asking for A code it never sends. It is costing us hours every day.,Login/Access,High,true,false
"Hi support, I would like to update the billing address address on our account. It is purely cosmetic, we aer not blocked in any way. Thanks for your time.",Billing,Low,true,false
"Hello support, Is saved filters something that exists today or am i missing it. Tried again a few hours later with the same result.",General Inquiry,Low,false,false
"A tooltip on the integrations page has a typo in it. It shows up every now and then and it is more of an irritation than a problem, so no particular deadline from our side. Reproduced by 1,800 different people here.",Bug Report,Medium,true,false
It would be really useful to have granular notification settings in the settings page Screenshots attached Looking forward to your reply,Feature Request,Low,false,false
We are falling behind on a deadline because of it. Submitting the form deletes the existing record instead of updating it. Please advise.,Bug Report,High,true,false
"Hello, The export contains another customer's rows mixed into ours. This has taken out our live environment, so oud own customers are already complaining.",Bug Report,Critical,true,false
"A small suggestion, saved filters would save our our team a lot of clicks. Not one person here can get anything done - please escalate this right now. Appreciate the help.",Feature Request,Critical,true,false
"Dear support team, A tooltip on the reports page has a typo in it. Just noting IT for the record. Thanks!",Bug Report,Low,true,false
"Hello, Archived records still show up in the team management screen by default. uOr developer confirmed the same behaviour on Windows 11. Thanks in advance.",Bug Report,Low,false,false
"Good morning, export contains another customer's rows mixed into ours.",Bug Report,Critical,false,false
an option to disable the default behaviour in the api console would help.,Feature Request,Low,false,false
Can you send a statement of all charges since 2026-08-14. Let me know if you need screenshots.,Billing,Low,false,false
"Hello, Uploading a file over 25 mb fails silently with no error shown. No response needed really. I have already tried clearing the cache and reinstalling. Thanks for your time.",Bug Report,Low,true,false
"Why did our bill jump from $129.00 to $4,812.00 with no plan change. Nothing is actually blocked beccause of it, sometime in the next few weks would be fine. Thanks!",Billing,Medium,true,false
"Hey, DOES the enterprise plan include custom dashboards. Sometime in tue next few weeks would be fine.",General Inquiry,Medium,true,false
Do you offer training esssions for new manager accounts. Please advise.,General Inquiry,Low,false,false
The chart renders an empty axis when a series has zero values Nobody else has even mentioned it and everything else works perfectly well,Bug Report,Low,true,false
We are being billed for 40 seats but only have 25 active users. It is affecting a few people here. Thanks in advance.,Billing,High,true,false
do you offer training sessions for new guest collaborator accounts our developer confirmed the same behaviour on ios 18.1,General Inquiry,Low,false,false
"Morning, How do i invite a billing contact to our workspace Most of out guest collaborator accuonts are running into it Any help appreciated",General Inquiry,High,true,false
every single user is affected and executives are asking for updates every few minutes which means please treat this as a severity one incident editing a admin and saving silently reverts the change let me know if you need screenshots,Bug Report,Critical,true,false
I want to cancel the subscription and get a refund of £320. We are falling behind on a deadline because of it and we would like an update today if you can manage it.,Billing,High,true,false
"Hi support, We would love to see two-way calendar sync integrated with segment It is a single screen and nothing else, so we are blocked in any way and genuinely not a priority for us Our workspace has about 200 users Appreciate the help",Feature Request,Low,true,false
we would like an api endpoint that mirrors an audit trail.,Feature Request,Medium,false,false
"Hello, The date filter returns results outside the range i selected. A good portion of our users hit this daily and flagging this as important on our side. It happens on Safari on iOS 18 as well. Cheers.",Bug Report,High,true,false
"Morning, Any chance you could support saved filters for starter customers It is a single screen and nothing else Appreciate the help",Feature Request,Low,true,false
"Hi support, Nobody else has even mentioned it, so we are not blocked in any way, so absolutely no rush on this. Archived records still show up in the webhook manager by default. Thanks for your time.",Bug Report,Low,true,false
Hi there Dns resolution for your api endpoint fails from our region. Let me know.,Technical Issue,High,false,false
My session expires after a couple of minutes and logs me out. It comes up maybe once a day.,Login/Access,Medium,true,false
"Hello support, Percentages on the summary card do not add up to 100. It is spreading to more of the team as we onboard which means hoping for a quick turnaround if at all possible. Looking forward to your reply.",Bug Report,High,true,false
"Hey, Our card on file keeps failing even though the bank confirms it is fine. A good portion of our users hit this daily, our release this week is at risk, so we need this sorted before the end of the week. Appreciate the help.",Billing,High,true,false
"Hi folks, The nightly export job has been timing out since tuesday.",Technical Issue,High,false,false
"Morning, A read-only user on our team cannot see the reports page at all. This keeps coming up and we are tired of it. Any help appreciated.",Login/Access,Medium,true,false
"Why did our bill jump from £320 to $1,204.50 with no plan change. Ticket raised on behalf of our workspace owner.",Billing,Medium,false,true
"Morning, The rate applied to invoice ord-88190 looks wrong for our region. Moderately important from where we sit. Our workspace has about 25 users.",Billing,High,true,false
"Hello support, The retry logic gets stuck in a loop because /api/webhooks returns 504. It comes up maybe once a day, would be good to have this fixed eventually. Reference ORD-44812 if that helps!!!!",Technical Issue,Medium,true,false
"Hi support, The account recovery flow keeps asking for a code it never sends. It is spreading to more of the team as we onboard and it is costing us hours every day. Looking forward to your reply.",Login/Access,High,true,false
"Good morning, Clicking save on tge notifications panel wipes thhe form and loses my input. Not one person here can get anyhing done and we need an emergency fix today. Looking forward to your reply!!",Bug Report,Critical,true,false
"Hey, Where can i find documentation for the settings page. Everything else works perfectly well. Logged from our Scale workspace. Thanks for your time.",General Inquiry,Low,true,false
The /v2/events endpoint returns 403 intermittently. Please advise.,Technical Issue,High,false,false
Which regions do you host data in No particular deadline from our side Cheers,General Inquiry,Medium,true,false
"hello support, our whole workflow has stopped dead. we were billed $18,300 for seats we cancelled and the card has already been debited.",Billing,Critical,true,true
any chance you could support jira integration for free customers!!,Feature Request,Low,false,false
"Dear support team, We would adopt this much faster if role-based permissions existed. A good portion of our users hit this daily - it is costing us hours every day. We are on the Pro plan. Let me know if you need screenshots.",Feature Request,High,true,false
It would be really useful to have scheduled reports in the notifications panel Only i have noticed it so far,Feature Request,Low,true,false
I need a copy of the receipt for ord-44812 for finance team. Ticket raised on behalf of our workspace owner.,Billing,Low,false,false
Can you send a statement of all charges since 2026-07-29 Cheers,Billing,Low,false,false
Can you explain the proration line item of $79 on our last invoice Our own customers are already complaining this absolutely cannot wait Logged from our Enterprise workspace,Billing,Critical,true,false
Responses from /v1/exports have been returning truncated payloads.,Technical Issue,Medium,false,false
